"DAC_DONOR","Donor","PART","Part","TRANSACTYPE","Aid type","FLOWS","Fund flows","DATATYPE","Amount type","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2008","2008","USD","US Dollar","6","Millions","2018","2018",3178.516834,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2009","2009","USD","US Dollar","6","Millions","2018","2018",3127.964843,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2010","2010","USD","US Dollar","6","Millions","2018","2018",3499.717373,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2011","2011","USD","US Dollar","6","Millions","2018","2018",3866.498799,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2012","2012","USD","US Dollar","6","Millions","2018","2018",4205.112346,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2013","2013","USD","US Dollar","6","Millions","2018","2018",3995.731905,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2014","2014","USD","US Dollar","6","Millions","2018","2018",3854.693699,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2015","2015","USD","US Dollar","6","Millions","2018","2018",3715.438629,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2016","2016","USD","US Dollar","6","Millions","2018","2018",3484.409978,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2017","2017","USD","US Dollar","6","Millions","2018","2018",3024.884175,,
